amfi_code,scheme_name,tracking_error
119551,SBI Bluechip Fund - Regular Plan - Growth,0.8699999999999992
119552,SBI Bluechip Fund - Direct Plan - Growth,1.7800000000000011
119598,SBI Small Cap Fund - Regular Plan - Growth,1.2300000000000004
119599,SBI Small Cap Fund - Direct Plan - Growth,1.129999999999999
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,1.6000000000000005
100016,HDFC Top 100 Fund - Regular Plan - Growth,0.7799999999999994
125497,HDFC Top 100 Fund - Direct Plan - Growth,1.1300000000000008
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.9499999999999975
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.8999999999999986
100025,HDFC Short Term Debt Fund - Regular - Growth,1.9800000000000004
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.6599999999999984
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.8800000000000008
120505,ICICI Pru Midcap Fund - Regular - Growth,0.889999999999997
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.5499999999999989
120507,ICICI Pru Liquid Fund - Regular - Growth,1.8499999999999996
118632,Nippon India Large Cap Fund - Regular - Growth,0.8599999999999994
118633,Nippon India Large Cap Fund - Direct - Growth,1.6999999999999993
118634,Nippon India Small Cap Fund - Regular - Growth,0.7999999999999972
118635,Nippon India ETF Nifty 50 BeES,1.799999999999999
118636,Nippon India Gilt Securities Fund - Regular - Growth,0.8899999999999997
120841,Kotak Bluechip Fund - Regular - Growth,1.2699999999999996
120842,Kotak Emerging Equity Fund - Regular - Growth,1.9100000000000001
120843,Kotak Flexicap Fund - Regular - Growth,1.8499999999999996
120844,Kotak Liquid Fund - Regular - Growth,1.5199999999999996
119092,Axis Bluechip Fund - Regular - Growth,1.4100000000000001
119093,Axis Bluechip Fund - Direct - Growth,1.4299999999999997
119094,Axis Midcap Fund - Regular - Growth,1.42
119095,Axis Small Cap Fund - Regular - Growth,0.5100000000000016
101206,ABSL Frontline Equity Fund - Regular - Growth,1.3399999999999999
101207,ABSL Small Cap Fund - Regular - Growth,1.8399999999999999
101208,ABSL Liquid Fund - Regular - Growth,1.1799999999999997
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.9299999999999997
102886,UTI Mid Cap Fund - Regular - Growth,1.1199999999999992
102887,UTI Flexi Cap Fund - Regular - Growth,1.7899999999999991
148567,Mirae Asset Large Cap Fund - Regular - Growth,1.620000000000001
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,1.700000000000001
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.5400000000000009
149322,DSP Top 100 Equity Fund - Regular - Growth,1.8200000000000003
149323,DSP Midcap Fund - Regular - Growth,1.0199999999999996
149324,DSP Small Cap Fund - Regular - Growth,0.6899999999999977
